Epoch,CNN_mae,L_13_mae,L_9_mae,L_5_mae,NFS_mae,CNN_mse,L_13_mse,L_9_mse,L_5_mse,NFS_mse,CNN_msssim,L_13_msssim,L_9_msssim,L_5_msssim,NFS_msssim,CNN_wasserstein,L_13_wasserstein,L_9_wasserstein,L_5_wasserstein,NFS_wasserstein
10,1.29134679585695,1.5548255071044,1.54969742894173,1.51368410140276,1.57132289558649,2.95279814302921,4.22385057806969,4.20259627699852,3.98904551565647,4.24720370769501,0.824742373079062,0.753152281045914,0.751778021454811,0.76244443655014,0.729504823684692,-1.3367506e-05,169.3482,158.71765,130.49364,335.3122
11,1.28149133175612,1.54381984472275,1.54411459714174,1.50219007581472,1.55789037793875,2.91391584277153,4.15937441587448,4.17841655015945,3.93001717329025,4.19240427017212,0.827846128493547,0.758043833076954,0.75388940423727,0.765117533504963,0.738050818443298,-8.861069e-06,153.65918,166.00943,128.26013,297.1309
12,1.27778844535351,1.54305977374315,1.53855210542679,1.50675931572914,1.55370159447193,2.8926999270916,4.14385375380516,4.14810806512833,3.94347779452801,4.16581210494041,0.830692384392023,0.76196800544858,0.758582964539528,0.766783010214567,0.742798034101725,-1.2447708e-05,158.22723,140.52307,116.10281,268.40793
13,1.27085315436125,1.5212400406599,1.52349136024714,1.49042546004057,1.57159246504307,2.86038859188557,4.05072662234306,4.0485917031765,3.86417983472347,4.25012335181236,0.832867100834847,0.763668477535248,0.760861180722714,0.769691709429026,0.744175791740418,-1.0625692e-05,148.96869,144.29619,112.16155,266.75116
14,1.26357782632113,1.51495888084173,1.50912030786276,1.4836603179574,1.60378003120422,2.83372162282467,4.00533175468445,3.98338481783867,3.82305708527565,4.42227572202683,0.835371479392052,0.767242345958948,0.765356928110123,0.771707139909267,0.748988654464483,-8.190749e-06,155.37068,130.7894,120.54397,278.63373
15,1.25933831185102,1.50491671264172,1.506293438375,1.46991697698832,1.55447532981634,2.81170997023582,3.94760835170746,3.96173946559429,3.76452806591988,4.17851606011391,0.836854595690966,0.769610617309809,0.769249562174082,0.776337310671806,0.750823333859444,-1.6820617e-05,138.17316,122.48661,115.112976,255.59445
16,1.25235640257597,1.49415960907936,1.49168752878904,1.47005517780781,1.53174050152302,2.78228960931301,3.89389905333519,3.88052022457123,3.75510358810425,4.06957256793976,0.838801439851522,0.777125336229801,0.774318739771843,0.779246143996715,0.752685591578484,-1.695333e-05,130.09756,132.70204,109.5029,248.55112
17,1.24568334966898,1.49487172067165,1.48159006237984,1.45954121649265,1.53590781986713,2.75088861584663,3.89584349095821,3.82535769045353,3.70465807616711,4.08838817477226,0.841760765761137,0.779376026242971,0.777726646512747,0.781049381941557,0.756307899951935,-2.0164996e-05,137.65424,125.76619,107.753235,237.38326
18,1.24065460264683,1.48868797719479,1.47228712588549,1.45002786070108,1.53304001688957,2.72751870751381,3.86096820235252,3.77506557106972,3.65706503391266,4.08308100700378,0.843231543898582,0.782970122992992,0.781451020389795,0.785058449953795,0.7571503482759,-1.955987e-05,130.842,115.12161,108.90821,217.67448
19,1.23340225219727,1.47519267350435,1.466816842556,1.45386540144682,1.53463567048311,2.70149765908718,3.78526347875595,3.74902957677841,3.66997574269772,4.08208113908768,0.844327125698328,0.786219455301762,0.784113124012947,0.785751603543758,0.763817764818668,-1.620187e-05,129.69327,110.932495,107.28583,215.76057
20,1.22857138514519,1.46128639578819,1.45526759326458,1.43960208445787,1.52369277924299,2.68111909925938,3.71987003087997,3.68651929497719,3.60012626647949,4.02814868092537,0.846263874322176,0.787471443414688,0.788152158260345,0.788860224187374,0.764376468956471,-1.8349616e-05,130.23932,117.85126,102.75854,206.70535
21,1.22502622753382,1.45821385830641,1.44365963339806,1.43329830467701,1.52004500478506,2.66636249423027,3.70395366847515,3.62244053184986,3.56765380501747,4.01030993461609,0.849391587078571,0.791712310165167,0.7916199862957,0.791745468974113,0.765850752592087,-2.361869e-05,123.96327,118.75697,105.77667,203.71643
22,1.22097273916006,1.45322927832603,1.43326000869274,1.42728050798178,1.51154524087906,2.64854028820992,3.6663753092289,3.57372911274433,3.54483748972416,3.96239618957043,0.849176999181509,0.792025968432426,0.796043362468481,0.792730029672384,0.76836459338665,-2.4089939e-05,125.75839,114.0856,103.08978,193.28024
23,1.21884474158287,1.44366018474102,1.42439522594214,1.42156131565571,1.5039249882102,2.64044871926308,3.62444803118706,3.53292405605316,3.51317344605923,3.91895152628422,0.850307889282703,0.79626589268446,0.798676241189241,0.795752260833979,0.774087887257338,-2.5427202e-05,126.52272,106.973434,100.130615,184.78238
24,1.2127003595233,1.44299094378948,1.42299647629261,1.41513138264418,1.52459352463484,2.61463104188442,3.6214964389801,3.52776303887367,3.48151275515556,4.03618070483208,0.852277904748917,0.797759376466274,0.801324423402548,0.797562099993229,0.772348560392857,-2.3034168e-05,116.71156,108.90073,98.248634,204.2085
25,1.21052958071232,1.42896035313606,1.4139249548316,1.40966558456421,1.50941105931997,2.60339495539665,3.55499288439751,3.47756339609623,3.45579846203327,3.95236605405807,0.853230830281973,0.801018688827753,0.803333256393671,0.799169179052115,0.775296024978161,-2.5111134e-05,122.126724,111.56481,95.13362,201.99109
26,1.2046632245183,1.43203813582659,1.41138988733292,1.4028277695179,1.49360435456038,2.57950648665428,3.55654667317867,3.46449701488018,3.42076545953751,3.87978096306324,0.854602351784706,0.799827057868242,0.805632259696722,0.801754895597696,0.778710536658764,-2.7894392e-05,111.028015,102.51658,91.95645,175.3035
27,1.19996337592602,1.42111659049988,1.40138078480959,1.3966166600585,1.49185420572758,2.56071650981903,3.51579131186008,3.41603381931782,3.39435330033302,3.8709611594677,0.854187224060297,0.803463637828827,0.808157064020634,0.804155617952347,0.782266292721033,-2.5699846e-05,111.08161,102.92317,94.22711,174.32486
28,1.19559867680073,1.41778775304556,1.4008207321167,1.39217261224985,1.49459267407656,2.54594255983829,3.49939781427383,3.41860096156597,3.37165567278862,3.86288310587406,0.85592046380043,0.805683452636004,0.809037115424871,0.805870022624731,0.782019633799791,-2.045359e-05,114.15773,100.25037,99.103584,174.40479
29,1.19269191473722,1.41476605832577,1.39739348739386,1.39001639932394,1.48280324041843,2.53376877307892,3.48693986237049,3.39455789327621,3.36281226575375,3.81041459739208,0.856469161808491,0.807491011917591,0.809074599295855,0.807171534746885,0.782103899866342,-2.4861423e-05,111.59706,99.187454,94.91413,169.15779
30,1.1916803792119,1.41025976091623,1.39595025777817,1.38146326690912,1.48067588359118,2.52536056935787,3.4580724388361,3.39294017851353,3.31916749477386,3.81482836604118,0.857907652854919,0.806960418820381,0.812357563525438,0.807744521647692,0.784819427877665,-2.8274022e-05,108.1483,102.059425,102.306366,157.11522
31,1.1865566149354,1.40161291509867,1.38581865280867,1.38481487333775,1.47928454726934,2.50737835466862,3.4134835600853,3.34644193947315,3.32960693538189,3.80785478651524,0.858234386891127,0.808532487601042,0.813319426029921,0.810139879584312,0.78675452247262,-2.2674678e-05,113.70839,99.00377,89.50709,158.9367
32,1.18411640077829,1.40282167494297,1.3824285119772,1.37461171299219,1.47152397036552,2.49874933063984,3.4193658977747,3.32552900910377,3.28903150558472,3.76366785168648,0.858975067734718,0.810680516064167,0.815265834331512,0.811753675341606,0.788406785577536,-1.657044e-05,111.36644,99.59074,93.252655,151.06201
33,1.18500028550625,1.39859953522682,1.38193476945162,1.36803711205721,1.46796208620071,2.49760383367538,3.41054202616215,3.33252823352814,3.2594920694828,3.75170204043388,0.859076984226703,0.812156680971384,0.814463697373867,0.812820296734571,0.790707651525736,-2.0507374e-05,101.6828,94.564865,89.50537,142.51263
34,1.18832223117352,1.3957624733448,1.37822819501162,1.36640033125877,1.47296797484159,2.51072619855404,3.3945182710886,3.32083129882812,3.24962908029556,3.76127426326275,0.858487516641617,0.813066676259041,0.81799329444766,0.813523069024086,0.791502133011818,-2.418086e-05,105.558464,96.14487,91.62669,150.82953
35,1.17769357562065,1.38806070387363,1.36981910467148,1.36395806074142,1.4644026234746,2.47402395308018,3.3547393232584,3.27286256849766,3.24102200567722,3.71544450521469,0.859977420419455,0.814280569553375,0.819788608700037,0.814950186759234,0.790125232189894,-2.4560373e-05,110.097534,101.97188,91.410416,136.68956
36,1.1746032088995,1.38753388822079,1.36118728667498,1.36377927660942,1.45908931642771,2.46303556859493,3.35102625191212,3.23265238106251,3.23898081481457,3.71317768096924,0.86072863638401,0.813654530793428,0.821650739759207,0.81608609482646,0.793509721755981,-2.1622749e-05,103.42406,101.97771,88.18765,138.70117
37,1.17410746216774,1.38525183498859,1.36619445681572,1.35709173232317,1.45625993609428,2.45601998269558,3.34855882823467,3.26054266095161,3.20725050568581,3.68500891327858,0.860951598733664,0.815956812351942,0.821486461907625,0.816606570035219,0.793130848556757,-1.7789076e-05,99.696976,93.64336,87.74843,140.50275
38,1.1679942458868,1.39209701120853,1.35909631848335,1.35273276269436,1.46141872555017,2.43586990237236,3.37924693524837,3.21900323033333,3.18725278973579,3.72391436994076,0.86200737580657,0.81631425768137,0.822590794414282,0.818168334662914,0.79663323611021,-2.1584798e-05,95.68352,94.088326,88.74327,132.43367
39,1.16843751072884,1.38025930523872,1.35191809386015,1.35326878726482,1.45670296251774,2.43932870030403,3.31485791504383,3.18993705511093,3.19223964214325,3.67850716412067,0.86253922060132,0.817808352410793,0.824139758944511,0.818264245986939,0.796701617538929,-2.0908774e-05,99.352615,95.79175,90.18544,140.22719
40,1.16470916569233,1.3783160597086,1.34914117306471,1.35317162424326,1.43634253740311,2.42353820800781,3.31143049895763,3.17966295778751,3.19016893208027,3.59284476935863,0.864075675606728,0.818391390144825,0.82477206736803,0.819066174328327,0.800893194973469,-2.1509943e-05,98.85034,96.17809,84.06449,131.26086
41,1.16022805124521,1.3740061968565,1.3551209717989,1.34291292726994,1.44507897645235,2.40856708586216,3.28550246357918,3.2052326053381,3.1416942179203,3.63244660198688,0.863387189805508,0.818682175129652,0.82421138882637,0.820594675838947,0.79927696660161,-2.0187697e-05,96.67217,91.4279,87.32715,129.76483
42,1.15932695567608,1.37840604782105,1.34549826383591,1.34153752774,1.42975630611181,2.40630367398262,3.305987611413,3.15650548040867,3.13486495614052,3.54440927505493,0.865554764866829,0.816741816699505,0.82581714913249,0.8226203545928,0.801526792347431,-1.8541352e-05,99.81464,92.88133,88.40347,135.82112
