Epoch,CNN_mae,L_13_mae,L_9_mae,L_5_mae,NFS_mae,CNN_mse,L_13_mse,L_9_mse,L_5_mse,NFS_mse,CNN_msssim,L_13_msssim,L_9_msssim,L_5_msssim,NFS_msssim,CNN_wasserstein,L_13_wasserstein,L_9_wasserstein,L_5_wasserstein,NFS_wasserstein
24,1.22055656462908,1.44414809346199,1.41563110798597,1.37938267737627,1.4822181686759,3.06297391653061,4.07578022778034,3.90171931684017,3.69071073830128,4.35848870873451,0.866151161491871,0.86466346681118,0.870044473558664,0.868377134203911,0.864299349486828,2.3762463e-05,51.102592,49.427002,46.49148,71.62898
25,1.21597545593977,1.43833664059639,1.41674706339836,1.37463157624006,1.44421546906233,3.03178092837334,4.06385996937752,3.90622434020042,3.68153807520866,4.01333512365818,0.867798116058111,0.868193656206131,0.869907755404711,0.872135832905769,0.859095647931099,2.6589027e-05,51.787106,47.47899,44.706158,105.251015
26,1.21157669275999,1.44451897591352,1.41019439697266,1.37252788990736,1.46001097559929,3.01398777961731,4.10268422961235,3.88016490638256,3.67409200966358,4.19037458300591,0.865696307271719,0.866152469068765,0.871208168566227,0.874615751206875,0.867492575198412,3.1356e-05,48.746273,47.55207,44.759094,83.004875
27,1.21262465417385,1.43751348555088,1.41202723234892,1.3736324980855,1.48165106773376,3.02077966928482,4.05530200898647,3.88256770372391,3.66027547419071,4.3218809068203,0.867579750716686,0.868981543928385,0.870933473110199,0.871947150677443,0.868363562971354,3.21134e-05,51.57725,45.077988,46.592094,81.41721
28,1.20766711980104,1.43160749226809,1.40678676962852,1.37226934731007,1.46309363842011,3.00390459597111,4.03134852647781,3.87272790074348,3.67089895904064,4.17280723154545,0.866376761347055,0.86909157410264,0.870815936475992,0.876195348799229,0.866132460534573,2.6670052e-05,48.914837,45.133987,45.893707,82.91936
29,1.21100786328316,1.44700360298157,1.40566424280405,1.3708985671401,1.47615116834641,3.00632409751415,4.11372022330761,3.87067876756191,3.65714612603188,4.20516112446785,0.867812473326921,0.869694545865059,0.870919845998287,0.875864837318659,0.865765109658241,2.9112212e-05,47.062294,43.589806,43.948887,83.09589
30,1.20592109113932,1.43002186715603,1.41412529349327,1.37040150910616,1.46290182322264,3.00161933898926,4.0157325565815,3.90444782376289,3.66698053479195,4.18158489465714,0.869531627744436,0.86944567039609,0.870685439556837,0.877733699977398,0.868065737187862,2.757879e-05,47.03282,45.41115,43.651176,74.459274
31,1.20280533283949,1.42751092463732,1.40908435732126,1.37262453138828,1.448327049613,2.98083345592022,4.00888538360596,3.89570866525173,3.65571673214436,4.12375365197659,0.868005901575089,0.867468882352114,0.872645135968924,0.876960407942534,0.868394039571285,2.9630726e-05,43.041416,43.803658,44.198715,70.25841
32,1.20712170004845,1.43881639838219,1.40401920676231,1.36984080821276,1.46492204070091,3.00293344259262,4.05070024728775,3.86509694159031,3.66315737366676,4.20343163609505,0.871224164962769,0.867635533213615,0.873912934213877,0.878159828484058,0.866790939122438,2.3985282e-05,45.13609,44.26879,42.88013,74.4086
33,1.20012987405062,1.43101646006107,1.40712751448154,1.37820340692997,1.49461498856545,2.96982561051846,4.01978600025177,3.87790784239769,3.68180039525032,4.36225977540016,0.870090886950493,0.868017271161079,0.873600982129574,0.877939283847809,0.870350249111652,3.1694304e-05,44.988873,42.309074,41.402546,60.276947
34,1.20197017490864,1.43669681996107,1.4062198549509,1.36977026611567,1.45628117024899,2.97099624574184,4.05224306881428,3.88386125862598,3.66069965064526,4.14960326254368,0.868949539959431,0.869004543870688,0.872164592146874,0.879347816109657,0.870054438710213,3.0028401e-05,45.485878,39.386547,40.905403,76.34019
35,1.20138517022133,1.42442963272333,1.40035060048103,1.36468557268381,1.43482318520546,2.98138207197189,3.99637453258038,3.84857268631458,3.64173609018326,4.02875135838985,0.869429856538773,0.86893242970109,0.871642235666513,0.880666505545378,0.869411665946245,2.7579255e-05,46.43464,42.155003,40.00876,63.700974
36,1.19978409260511,1.43006899952889,1.4104637876153,1.36547650396824,1.44489618390799,2.97013327479362,4.01849043369293,3.90752246975899,3.63798089325428,4.08893120288849,0.869082655757666,0.868536707013845,0.87480553984642,0.879340149462223,0.870211150497198,2.6685884e-05,45.672462,40.45703,39.622574,68.16013
